TIME,LAT,LONG,VAL
31,36.0730824,-79.77610781,164
31.1,36.07308444,-79.77610783,164
31.2,36.07308648,-79.77610769,163
31.3,36.07308854,-79.77610741,162
31.4,36.07309061,-79.77610699,161
31.5,36.0730927,-79.77610649,160
31.6,36.0730948,-79.7761059,159
31.7,36.07309692,-79.77610526,158
31.8,36.07309903,-79.77610459,157
31.9,36.07310114,-79.77610387,155
32,36.07310322,-79.77610309,152
32.1,36.07310526,-79.77610225,150
32.2,36.07310726,-79.77610136,148
32.3,36.07310922,-79.77610041,147
32.4,36.07311115,-79.77609942,146
32.5,36.07311305,-79.77609837,148
32.6,36.07311492,-79.77609726,149
32.7,36.07311677,-79.77609609,150
32.8,36.07311861,-79.77609488,151
32.9,36.07312043,-79.77609361,152
33,36.07312222,-79.77609229,154
33.1,36.07312398,-79.77609091,156
33.2,36.0731257,-79.7760895,158
33.3,36.07312738,-79.77608806,159
33.4,36.07312902,-79.77608658,160
33.5,36.07313062,-79.77608505,162
33.6,36.07313219,-79.77608347,162
33.7,36.07313373,-79.77608183,162
33.8,36.07313524,-79.77608011,162
33.9,36.07313672,-79.77607831,163
34,36.07313817,-79.77607643,163
34.1,36.07313957,-79.77607446,162
34.2,36.07314093,-79.77607241,156
34.3,36.07314225,-79.77607032,154
34.4,36.07314355,-79.77606819,153
34.5,36.07314483,-79.77606605,151
34.6,36.07314608,-79.77606388,150
34.7,36.07314731,-79.77606169,149
34.8,36.07314854,-79.77605949,148
34.9,36.07314975,-79.77605728,147
35,36.07315094,-79.77605505,146
35.1,36.07315213,-79.77605281,145
35.2,36.07315331,-79.77605056,145
35.3,36.07315447,-79.77604831,145
35.4,36.07315562,-79.77604604,144
35.5,36.07315676,-79.77604377,144
35.6,36.07315789,-79.77604149,145
35.7,36.07315901,-79.77603919,146
35.8,36.07316012,-79.77603686,146
35.9,36.07316121,-79.77603449,159
36,36.0731623,-79.77603207,159
36.1,36.07316338,-79.77602958,160
36.2,36.07316445,-79.77602705,160
36.3,36.07316551,-79.77602447,161
36.4,36.07316656,-79.77602188,161
36.5,36.07316758,-79.77601927,161
36.6,36.07316859,-79.77601668,161
36.7,36.07316958,-79.77601413,162
36.8,36.07317054,-79.77601163,162
